x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,label
-1.444.517.151.344.610,6.363.124.739.654.460,1.641.250.330.627.790,35.964.149.822.600.300,18.778.464.246.159.400,8.101.253.902.271.250,-5.176.286.815.585.750,2.278.252.415.803.310,4.541.893.629.443.850,-13.202.118.268.980.000,-1
-1.176.296.792.718.630,7.739.592.120.951.100,17.332.639.535.815.700,-19.962.945.565.168.700,14.633.769.142.872.900,-5.628.522.022.067.080,-5.206.543.474.841.800,-10.294.387.697.974.300,-19.138.292.200.390.800,37.385.574.799.287.800,1
5.599.281.099.444.840,-11.722.804.856.715.300,19.858.354.750.574.600,-6.670.561.960.158.630,-10.423.191.042.656.700,11.137.370.506.109.900,10.081.568.357.221.200,-7.855.856.320.583.310,-8.758.475.800.356.320,10.710.582.672.660.600,1
1.435.955.492.748.100,-20.939.536.621.669.000,7.831.194.376.061.370,-11.420.002.270.580.500,-5.330.471.072.051.120,23.354.458.023.880.600,-1.759.226.670.388.410,16.439.562.766.938.200,11.401.243.255.242.000,1.053.768.970.413.310,1
12.068.552.330.458.700,15.151.975.814.300.100,1.066.354.292.513.400,25.079.815.219.001.700,9.498.531.040.632.250,13.605.538.256.350.000,17.111.928.420.207.000,24.772.691.551.960.400,2.670.884.809.241.800,-10.392.009.376.911.700,-1
42.849.521.937.881.000,-18.215.595.717.155.900,3.481.950.066.863.420,37.052.613.355.703.600,1.441.997.130.977.150,15.862.751.657.539.500,-4.972.309.968.383.160,9.923.520.703.775.790,-12.575.651.857.844.100,-3.588.703.696.728.250,-1
-1.121.783.172.614.970,18.141.987.082.516.500,-1.043.907.898.037.100,20.896.499.128.849.100,8.744.912.811.778.760,-5.757.283.852.841.980,-6.022.580.122.299.350,-47.668.922.738.766.500,-16.084.358.858.274.100,-19.187.655.597.905.900,-1
-5.801.852.569.134.630,-1.329.974.969.881.970,6.145.867.068.171.800,14.510.653.809.621.000,-10.852.070.099.208.700,12.000.900.082.904.600,14.802.286.770.813.400,27.455.665.387.041.000,11.871.917.226.362.500,10.338.464.757.037.200,1
9.386.822.828.656.020,-20.814.911.207.453.600,6.484.058.098.314.660,-1.914.495.235.764.700,-6.832.949.223.446.150,5.089.053.568.050.200,-2.886.983.666.658.040,-6.803.943.903.874.260,8.754.726.360.478.250,-22.106.297.856.396.200,-1
-21.799.425.483.695.400,12.866.179.248.850.100,2.243.010.604.491.250,28.040.187.427.711.200,-6.062.480.380.835.650,34.746.851.010.238.800,7.727.540.642.913.920,14.390.633.472.039.000,5.191.825.695.063.370,22.912.843.325.109.900,1
-3.784.843.757.776.500,5.402.159.647.504.410,8.681.074.512.105.970,-858.059.865.773.719,-13.641.977.611.719.500,3.289.763.073.030.330,-33.166.255.404.708.200,-507.356.355.506.543,-9.786.162.854.600.770,-16.413.368.370.240.900,-1
19.527.872.791.717.500,8.690.210.552.116.150,9.584.845.907.032.280,6.476.454.265.232.890,-10.197.721.965.439.500,-16.668.730.198.134.400,3.341.288.441.517.660,-45.641.036.419.214.900,-411.876.818.989.113,-11.209.224.117.559.200,-1
-7.778.617.894.298.910,-32.732.642.639.900.200,-1.267.969.782.527.680,8.887.649.398.053.640,-15.837.681.878.095.300,-10.573.978.579.480.000,1.623.947.881.335.140,3.672.275.025.996.780,12.564.274.355.519.000,-2.717.437.543.072.760,-1
-1.812.967.036.394.870,-44.854.035.091.825.200,2.849.303.025.458.920,-5.159.432.193.869.840,4.032.272.489.350.670,26.054.978.381.748.200,-15.131.952.224.681.900,5.820.610.955.613.750,-28.973.741.411.580.200,15.770.219.536.798.000,1
-5.639.930.268.268.600,7.368.665.537.632.340,-1.215.500.868.375.790,6.133.378.144.524.790,2.626.351.161.891.370,-11.780.821.310.633.300,10.291.546.379.560.100,-9.171.781.824.594.160,28.104.335.306.692.000,10.947.921.037.191.700,1
28.874.440.994.523.600,-36.682.024.994.339.600,11.838.174.308.581.000,10.893.376.046.866.300,-2.042.021.730.202.820,-3.632.335.117.773.180,15.827.948.415.567.600,-1.491.525.697.788.790,-8.775.528.178.937.200,-21.054.287.716.763.900,-1
-5.967.312.168.765.750,39.854.845.283.055.800,-6.908.459.332.549.950,-3.237.742.952.557.330,4.031.704.485.586.140,-9.549.477.800.169.180,11.577.092.602.535.700,-1.150.141.154.039.710,790.837.835.462.094,-943.858.048.318.832,-1
-2.298.113.548.951.650,-5.561.972.690.683.320,52.601.252.344.106,-14.405.839.959.206.800,24.222.039.067.050.000,-7.576.355.948.399.200,8.309.766.695.884.880,-4.077.880.477.961.140,-849.806.406.759.351,3.024.623.561.783.900,1
-12.090.692.292.098.200,12.747.926.764.328.500,-14.971.936.308.453.600,4.564.269.083.535.510,-13.211.611.730.656.700,44.905.548.193.525.500,-5.587.284.557.672.490,14.425.082.719.518.900,8.058.638.707.807.320,1.251.351.903.299.240,1
20.102.365.468.523.900,16.911.612.529.214.500,-15.898.091.224.258.400,8.633.201.817.608.620,-36.625.725.917.310.700,6.410.220.461.806.810,-8.272.897.870.430.600,9.657.984.283.511.550,23.179.349.386.050.300,-16.868.323.085.633.500,-1
-1.434.339.090.788.540,-12.207.423.875.968.300,10.225.050.329.470.900,-11.240.180.756.701.800,49.476.039.545.062.200,4.541.793.543.109.330,-6.287.780.680.236.520,565.217.597.096.471,-7.141.636.602.125.720,2.432.301.404.419.650,1
10.705.120.052.790.300,16.531.270.654.149.000,-559.055.575.935.963,7.063.298.528.786.470,-16.811.022.377.568.500,-8.374.526.063.396.360,-5.667.876.477.342.760,13.711.123.275.572.600,-1.225.709.269.913.840,1.136.323.386.672.870,1
6.826.935.429.500.740,-16.137.279.766.328.900,-12.310.024.690.779.900,6.364.332.235.581.810,-3.597.945.899.724.300,-27.071.208.222.247.100,-38.423.786.160.428.700,17.739.844.569.942.500,-12.555.491.381.347.200,-1.082.230.231.439.780,-1
8.173.010.985.326.260,22.380.935.904.623.700,-25.164.481.364.498.600,-19.430.577.580.564.800,21.605.665.732.768.600,10.996.886.149.071.300,-1.463.015.375.407.430,799.107.098.469.912,-9.492.024.352.170.990,24.776.369.807.147.700,1
-5.207.186.868.421.830,-15.564.844.512.728.000,-9.312.421.700.289.990,22.766.389.532.645.400,-5.538.328.143.012.330,2.624.876.554.870.670,5.027.830.937.681.000,4.130.262.796.485.880,17.623.143.366.785.400,-10.004.481.974.053.900,-1
4.664.146.610.416.720,19.831.467.520.325.800,-5.422.930.241.009.080,-18.211.439.266.464.100,6.816.662.594.516.390,9.471.705.547.009.650,-17.007.763.555.566.400,33.244.431.847.748,10.424.332.029.497.000,-7.521.119.768.986.120,-1
-8.306.600.258.113.600,18.706.883.685.325.100,856.961.387.304.794,12.606.382.806.960.000,-11.515.335.881.026.400,-11.385.735.676.833.100,-16.075.571.031.275.900,664.319.260.344.252,43.341.905.419.503.800,-14.879.073.340.367.200,-1
10.885.082.054.023.400,-6.069.988.995.104.520,-5.087.245.778.619.220,-40.994.333.309.622.600,-10.485.416.632.312.900,-883.307.065.225.813,8.235.504.935.279.620,45.903.790.070.738.000,-8.794.616.369.536.210,-7.269.149.932.730.650,-1
-13.069.757.010.983.600,-9.028.826.369.654.580,-3.152.426.739.137.860,10.215.720.852.263.100,17.869.884.042.124.000,-9.226.819.108.706.940,-15.125.865.987.700.400,2.568.637.950.198.230,718.763.062.538.325,-9.049.831.205.016.810,-1
13.206.229.460.029.600,-7.485.004.981.755.990,-9.088.118.399.121.860,-45.948.739.963.137.200,38.464.877.838.590.500,396.013.391.017.058,290.030.672.825.279,-8.941.251.016.749.360,947.803.589.620.489,14.013.796.708.580.000,1
-8.216.064.396.938.050,-11.326.353.548.333.800,4.768.713.592.050.340,-9.112.977.593.154.200,-3.773.249.546.941.460,1.773.140.624.820.360,-10.440.168.054.563.500,8.157.932.146.620.510,9.717.480.938.407.920,12.087.398.021.858.300,1
-1.183.849.863.317.450,-19.900.871.627.617.800,8.287.233.225.135.270,2.297.798.661.122.950,24.975.774.566.283.500,6.735.531.803.544.200,-5.980.505.603.997.580,657.180.354.785.076,16.602.666.102.145.800,-18.202.607.560.484.600,-1
-2.575.634.327.525.860,20.634.984.088.229.200,26.468.488.834.469.200,-9.780.934.531.848.380,6.228.516.644.061.560,14.857.118.375.657.600,18.861.303.861.552.000,5.022.359.176.544.840,13.147.608.324.881.100,9.741.810.703.564.440,1
-7.274.834.824.992.350,-188.256.843.173.556,8.660.816.060.812.070,10.511.710.470.972.800,11.061.012.519.617.700,1.491.003.125.613.270,-8.076.490.600.566.110,-10.381.492.835.351.500,-26.059.254.095.971.200,8.184.267.704.210.890,1
18.355.860.566.465.300,-20.871.350.129.949.900,-18.643.168.117.704.700,-129.137.047.841.496,394.913.254.443.613,12.480.978.248.973.000,-4.580.554.356.268.570,-16.878.967.291.723.300,-2.883.324.177.475.330,-8.596.794.443.533.910,-1
-1.820.276.698.172.060,-9.491.988.375.124.340,-30.760.900.882.036.900,18.830.623.886.148.500,14.925.283.664.580.000,-26.452.077.770.824.200,-6.519.830.603.388.110,5.747.229.497.720.590,-9.681.401.746.349.990,1.827.546.447.139.380,1
-17.653.788.410.380.400,-19.028.898.165.775.700,7.773.593.563.436.520,-7.945.300.983.948.250,-1.778.553.989.000.810,7.819.762.273.008.910,8.244.704.110.629.800,-39.385.298.899.796.000,1.052.404.248.963.320,1.010.122.293.616.760,1
